Gövde Kapak Malzemesi Numune 4|Dökme Demir Spektrometrik Analiz (Cast Iron Spectrometric Analysis)|Ti  0.016  %  ASTM E1999  |Ti|0,016
Gövde Kapak Malzemesi Numune 4|Dökme Demir Spektrometrik Analiz (Cast Iron Spectrometric Analysis)|*Mg  0.047  %  ASTM E1999  |Mg|0,047
Gövde Kapak Malzemesi Numune 4|Dökme Demir Spektrometrik Analiz (Cast Iron Spectrometric Analysis)|C  3.695  %  ASTM E1999  |C|3,695
Gövde Kapak Malzemesi Numune 4|Dökme Demir Spektrometrik Analiz (Cast Iron Spectrometric Analysis)|Si  2.711  %  ASTM E1999  |Si|2,711
Gövde Kapak Malzemesi Numune 4|Dökme Demir Spektrometrik Analiz (Cast Iron Spectrometric Analysis)|Mn  0.371  %  ASTM E1999  |Mn|0,371
Gövde Kapak Malzemesi Numune 4|Dökme Demir Spektrometrik Analiz (Cast Iron Spectrometric Analysis)|P  0.044  %  ASTM E1999  |P|0,044
Gövde Kapak Malzemesi Numune 4|Dökme Demir Spektrometrik Analiz (Cast Iron Spectrometric Analysis)|S  0.0058  %  ASTM E1999  |S|0,0058
Gövde Kapak Malzemesi Numune 4|Dökme Demir Spektrometrik Analiz (Cast Iron Spectrometric Analysis)|Cr  0.031  %  ASTM E1999  |Cr|0,031
Gövde Kapak Malzemesi Numune 4|Dökme Demir Spektrometrik Analiz (Cast Iron Spectrometric Analysis)|Ni  0.024  %  ASTM E1999  |Ni|0,024
Gövde Kapak Malzemesi Numune 4|Dökme Demir Spektrometrik Analiz (Cast Iron Spectrometric Analysis)|Cu  0.049  %  ASTM E1999  |Cu|0,049
Gövde Kapak Malzemesi Numune 4|Dökme Demir Spektrometrik Analiz (Cast Iron Spectrometric Analysis)|V  0.0086  %  ASTM E1999  |V|0,0086
Gövde Kapak Malzemesi Numune 5|Dökme Demir Spektrometrik Analiz (Cast Iron Spectrometric Analysis)|Ti  0.014  %  ASTM E1999  |Ti|0,014
Gövde Kapak Malzemesi Numune 5|Dökme Demir Spektrometrik Analiz (Cast Iron Spectrometric Analysis)|*Mg  0.041  %  ASTM E1999  |Mg|0,041
Gövde Kapak Malzemesi Numune 5|Dökme Demir Spektrometrik Analiz (Cast Iron Spectrometric Analysis)|C  3.628  %  ASTM E1999  |C|3,628
Gövde Kapak Malzemesi Numune 5|Dökme Demir Spektrometrik Analiz (Cast Iron Spectrometric Analysis)|Si  2.677  %  ASTM E1999  |Si|2,677
Gövde Kapak Malzemesi Numune 5|Dökme Demir Spektrometrik Analiz (Cast Iron Spectrometric Analysis)|Mn  0.359  %  ASTM E1999  |Mn|0,359
