Brinell   190,00  HBW
Brinell   194,20  HBW
Brinell   192,70  HBW
Brinell   191,30  HBW
Brinell   191,50  HBW
Brinell   192,10  HBW
Brinell   193,40  HBW
Brinell   193,20  HBW
Brinell   193,80  HBW
Brinell   194,50  HBW
Brinell   195,10  HBW
Brinell   194,40  HBW
Brinell   192,60  HBW
Brinell   192,80  HBW
Brinell   191,90  HBW
Cu  0,418  %  ASTM E1086
Fe+Diğer  Kalan  %  ASTM E1086
C  0,029  %  ASTM E1086
Si  0,390  %  ASTM E1086
Mn  1,725  %  ASTM E1086
P  0,035  %  ASTM E1086
S  0,019  %  ASTM E1086
Cr  18,52  %  ASTM E1086
Ni  8,278  %  ASTM E1086
Mo  0,250  %  ASTM E1086
Cu  0,418  %  ASTM E1086
Fe+Diğer  Kalan  %  ASTM E1086
C  0,028  %  ASTM E1086
Si  0,389  %  ASTM E1086
Mn  1,740  %  ASTM E1086
P  0,033  %  ASTM E1086
S  0,017  %  ASTM E1086
Cr  18,47  %  ASTM E1086
Ni  8,167  %  ASTM E1086
Mo  0,249  %  ASTM E1086
Cu  0,419  %  ASTM E1086
Fe+Diğer  Kalan  %  ASTM E1086
C  0,028  %  ASTM E1086
Si  0,383  %  ASTM E1086
Mn  1,770  %  ASTM E1086
P  0,031  %  ASTM E1086
S  0,017  %  ASTM E1086
Cr  18,34  %  ASTM E1086
Ni  8,246  %  ASTM E1086
Mo  0,247  %  ASTM E1086
Cu  0,423  %  ASTM E1086
Fe+Diğer  Kalan  %  ASTM E1086
C  0,028  %  ASTM E1086
Si  0,385  %  ASTM E1086
Mn  1,783  %  ASTM E1086
P  0,029  %  ASTM E1086
S  0,016  %  ASTM E1086
Cr  18,33  %  ASTM E1086
Ni  8,215  %  ASTM E1086
Mo  0,248  %  ASTM E1086
Cu  0,425  %  ASTM E1086
Fe+Diğer  Kalan  %  ASTM E1086
C  0,028  %  ASTM E1086
Si  0,393  %  ASTM E1086
Mn  1,736  %  ASTM E1086
P  0,035  %  ASTM E1086
S  0,018  %  ASTM E1086
Cr  18,28  %  ASTM E1086
Ni  8,156  %  ASTM E1086
Mo  0,249  %  ASTM E1086
Cu  0,420  %  ASTM E1086
Fe+Diğer  Kalan  %  ASTM E1086
C  0,029  %  ASTM E1086
Si  0,395  %  ASTM E1086
Mn  1,736  %  ASTM E1086
P  0,034  %  ASTM E1086
S  0,019  %  ASTM E1086
Cr  18,43  %  ASTM E1086
Ni  8,276  %  ASTM E1086
Mo  0,246  %  ASTM E1086
Cu  0,420  %  ASTM E1086
Fe+Diğer  Kalan  %  ASTM E1086
C  0,029  %  ASTM E1086
Si  0,401  %  ASTM E1086
Mn  1,740  %  ASTM E1086
P  0,032  %  ASTM E1086
S  0,018  %  ASTM E1086
Cr  18,36  %  ASTM E1086
Ni  8,212  %  ASTM E1086
Mo  0,243  %  ASTM E1086
Cu  0,422  %  ASTM E1086
Fe+Diğer  Kalan  %  ASTM E1086
C  0,029  %  ASTM E1086
Si  0,397  %  ASTM E1086
Mn  1,754  %  ASTM E1086
P  0,034  %  ASTM E1086
S  0,018  %  ASTM E1086
Cr  18,44  %  ASTM E1086
Ni  8,178  %  ASTM E1086
Mo  0,246  %  ASTM E1086
Cu  0,422  %  ASTM E1086
Fe+Diğer  Kalan  %  ASTM E1086
*Shore A 1,Ölçüm   66,00  Shore A  TS ISO 48-2
*Shore A 2,Ölçüm   67,00  Shore A  TS ISO 48-2
*Shore A 3,Ölçüm   68,00  Shore A  TS ISO 48-2
*Shore A 1,Ölçüm   68,00  Shore A  TS ISO 48-2
*Shore A 2,Ölçüm   68,00  Shore A  TS ISO 48-2
*Shore A 3,Ölçüm   66,00  Shore A  TS ISO 48-2
*Shore A 1,Ölçüm   69,00  Shore A  TS ISO 48-2
*Shore A 2,Ölçüm   70,00  Shore A  TS ISO 48-2
*Shore A 3,Ölçüm   67,00  Shore A  TS ISO 48-2
*Shore A 1,Ölçüm   69,00  Shore A  TS ISO 48-2
*Shore A 2,Ölçüm   68,00  Shore A  TS ISO 48-2
*Shore A 3,Ölçüm   67,00  Shore A  TS ISO 48-2
*Shore A 1,Ölçüm   67,00  Shore A  TS ISO 48-2
*Shore A 2,Ölçüm   67,00  Shore A  TS ISO 48-2
*Shore A 3,Ölçüm   68,00  Shore A  TS ISO 48-2
